,ISIN,ticker,name_of_shares,type_of_shares,may_shorted,long_risk,short_risk
0,RU000A0JSQ90,DSKY,Детский МирDSKY, Акции,Доступен,20.08 , 25.44
1,RU000A0F5UN3,ENRU,Энел РоссияENRU, Акции,Доступен,20.08 , 25.44
2,RU0009100507,NKNC,НижнекамскнефтехимNKNC, Акции,Нет,21.04 , 36.56
3,RU0006765096,NKNCP,Нижнекамскнефтехим - акции привилегированныеNKNCP, Акции,Нет,20.42 , 24.48
4,RU000A0JPVK8,RSTIP,Российские сети - акции привилегированныеRSTIP, Акции,Нет,20.08 , 22.32
5,RU0008959580,KMAZ,КАМАЗKMAZ, Акции,Нет,20.08 , 62.56
6,RU0009034490,LSNG,ЛенэнергоLSNG, Акции,Нет,100 , 100
7,RU0009092134,LSNGP,Ленэнерго - акции привилегированныеLSNGP, Акции,Нет,20.08 , 22.32
8,RU0009036479,MGTSP,МГТС - акции привилегированныеMGTSP, Акции,Нет,20.08 , 22.32
9,RU0008992318,FESH,ДВМПFESH, Акции,Нет,20.79 , 38.09
10,RU000A0JNUD0,TGKA,ТГК-1TGKA, Акции,Доступен,20.08 , 25.44
11,RU0009100945,BSPB,Банк Санкт-ПетербургBSPB, Акции,Нет,20.08 , 22.32
12,US52634T2006,LNTA,ЛентаLNTA, Акции,Доступен,75 , 125
13,RU000A0JNAA8,PLZL,Полюс ЗолотоPLZL, Акции,Доступен,20.08 , 25.44
14,RU000A0HM5C1,TTLK,ТаттелекомTTLK, Акции,Нет,20.08 , 22.32
15,RU000A0B88G6,AMEZ,Ашинский метзаводAMEZ, Акции,Нет,22.91 , 45.3
16,RU000A0JNG55,OGKB,Вторая генерирующая компания оптового рынка электроэнергииOGKB, Акции,Доступен,20.08 , 25.44
17,RU000A0JL4R1,GCHE,Группа ЧеркизовоGCHE, Акции,Нет,20.08 , 29.5
18,RU000A0JP1N2,LNZL,ЛензолотоLNZL, Акции,Нет,31.28 , 107.36
19,RU000A0JPN96,MRKP,МРСК Центра и ПриволжьяMRKP, Акции,Нет,20.08 , 25.44
20,RU000A0JPPL8,MRKC,МРСК ЦентраMRKC, Акции,Нет,20.08 , 22.32
21,RU000A0JXKG3,ORUP,Обувь РоссииORUP, Акции,Нет,43.25 , 144.64
22,RU000A0JPR50,SELG,СелигдарSELG, Акции,Нет,20.08 , 22.32
23,RU0009089825,KZOS,ПАО «КАЗАНЬОРГСИНТЕЗ»KZOS, Акции,Нет,20.08 , 27.85
24,RU0006753456,KZOSP,ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированныеKZOSP, Акции,Нет,33.4 , 92.99
25,RU0009100416,KRKNP,Саратовский НПЗ - акции привилегированныеKRKNP, Акции,Нет,20.08 , 22.32
26,RU000A0JS5T7,ABRD,АбрауДюрсоABRD, Акции,Нет,20.08 , 28.69
27,RU000A0JR4A1,MOEX,Московская БиржаMOEX, Акции,Доступен,20.08 , 25.44
28,RU0009029540,SBER,Сбер БанкSBER, Акции,Доступен,20.08 , 25.44
29,RU0007661625,GAZP,ГазпромGAZP, Акции,Доступен,20.08 , 25.44
30,RU000A0JP5V6,VTBR,Банк ВТБVTBR, Акции,Доступен,20.08 , 25.44
31,RU0009024277,LKOH,ЛУКОЙЛLKOH, Акции,Доступен,20.08 , 25.44
32,RU000A0J2Q06,ROSN,РоснефтьROSN, Акции,Доступен,20.08 , 25.44
33,RU0007288411,GMKN,Норильский никельGMKN, Акции,Доступен,20.08 , 25.44
34,RU0008926258,SNGS,СургутнефтегазSNGS, Акции,Доступен,20.08 , 25.44
35,RU0009029557,SBERP,Сбер Банк - привилегированные акцииSBERP, Акции,Доступен,20.08 , 25.44
36,RU000A0JPNN9,FEES,ФСК ЕЭСFEES, Акции,Доступен,20.08 , 25.44
37,RU000A0JPKH7,HYDR,РусГидроHYDR, Акции,Доступен,20.08 , 25.44
38,RU0009046510,CHMF,СеверстальCHMF, Акции,Доступен,20.08 , 25.44
39,RU0009091573,TRNFP,ТранснефтьTRNFP, Акции,Доступен,20.08 , 25.44
40,RU000A0DKVS5,NVTK,НОВАТЭКNVTK, Акции,Доступен,20.08 , 25.44
41,JE00B6T5S470,POLY,PolymetalPOLY, Акции,Доступен,20.08 , 25.44
42,RU000A0JKQU8,MGNT,МагнитMGNT, Акции,Доступен,20.08 , 25.44
43,RU0009033591,TATN,ТатнефтьTATN, Акции,Доступен,20.08 , 25.44
44,RU0009046452,NLMK,НЛМКNLMK, Акции,Доступен,20.08 , 25.44
45,RU0009029524,SNGSP,Сургутнефтегаз - привилегированные акцииSNGSP, Акции,Доступен,20.08 , 25.44
46,RU0007775219,MTSS,МТСMTSS, Акции,Доступен,20.08 , 25.44
47,RU000A0JPVJ0,RSTI,Российские сетиRSTI, Акции,Доступен,20.08 , 25.44
48,RU0008943394,RTKM,РостелекомRTKM, Акции,Доступен,20.08 , 25.44
49,RU0009062285,AFLT,АэрофлотAFLT, Акции,Доступен,20.08 , 25.44
