,Название,ISIN,Доступен шорт,"Ставка риска в %, лонг/шорт"
0,"Доллар СШАUSDRUB, Валюта",,Доступен,11.64 / 12.36
1,"ЕвроEURRUB, Валюта",,Доступен,11.64 / 12.36
2,"Фунт стерлинговGBPRUB, Валюта",,Нет,99.19 / 264.81
3,"Швейцарский франкCHFRUB, Валюта",,Нет,100 / 100
4,"ЮаньCNYRUB, Валюта",,Нет,99.19 / 264.81
5,"ИенаJPYRUB, Валюта",,Нет,99.19 / 264.81
6,"Гонконгский долларHKDRUB, Валюта",,Нет,99.19 / 264.81
7,"Турецкая лираTRYRUB, Валюта",,Нет,99.19 / 264.81
8,"Детский МирDSKY, Акции",RU000A0JSQ90,Доступен,20.08 / 25.44
9,"Энел РоссияENRU, Акции",RU000A0F5UN3,Доступен,20.08 / 25.44
10,"НижнекамскнефтехимNKNC, Акции",RU0009100507,Нет,21.04 / 36.56
11,"Нижнекамскнефтехим - акции привилегированныеNKNCP, Акции",RU0006765096,Нет,20.42 / 24.48
12,"Российские сети - акции привилегированныеRSTIP, Акции",RU000A0JPVK8,Нет,20.08 / 22.32
13,"КАМАЗKMAZ, Акции",RU0008959580,Нет,20.08 / 62.56
14,"ЛенэнергоLSNG, Акции",RU0009034490,Нет,100 / 100
15,"Ленэнерго - акции привилегированныеLSNGP, Акции",RU0009092134,Нет,20.08 / 22.32
16,"МГТС - акции привилегированныеMGTSP, Акции",RU0009036479,Нет,20.08 / 22.32
17,"ДВМПFESH, Акции",RU0008992318,Нет,20.79 / 38.09
18,"ТГК-1TGKA, Акции",RU000A0JNUD0,Доступен,20.08 / 25.44
19,"Банк Санкт-ПетербургBSPB, Акции",RU0009100945,Нет,20.08 / 22.32
20,"ЛентаLNTA, Акции",US52634T2006,Доступен,75 / 125
21,"Полюс ЗолотоPLZL, Акции",RU000A0JNAA8,Доступен,20.08 / 25.44
22,"ТаттелекомTTLK, Акции",RU000A0HM5C1,Нет,20.08 / 22.32
23,"Ашинский метзаводAMEZ, Акции",RU000A0B88G6,Нет,22.91 / 45.3
24,"Вторая генерирующая компания оптового рынка электроэнергииOGKB, Акции",RU000A0JNG55,Доступен,20.08 / 25.44
25,"Группа ЧеркизовоGCHE, Акции",RU000A0JL4R1,Нет,20.08 / 29.5
26,"ЛензолотоLNZL, Акции",RU000A0JP1N2,Нет,31.28 / 107.36
27,"МРСК Центра и ПриволжьяMRKP, Акции",RU000A0JPN96,Нет,20.08 / 25.44
28,"МРСК ЦентраMRKC, Акции",RU000A0JPPL8,Нет,20.08 / 22.32
29,"Обувь РоссииORUP, Акции",RU000A0JXKG3,Нет,43.25 / 144.64
30,"СелигдарSELG, Акции",RU000A0JPR50,Нет,20.08 / 22.32
31,"ПАО «КАЗАНЬОРГСИНТЕЗ»KZOS, Акции",RU0009089825,Нет,20.08 / 27.85
32,"ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированныеKZOSP, Акции",RU0006753456,Нет,33.4 / 92.99
33,"Саратовский НПЗ - акции привилегированныеKRKNP, Акции",RU0009100416,Нет,20.08 / 22.32
34,"АбрауДюрсоABRD, Акции",RU000A0JS5T7,Нет,20.08 / 28.69
35,"Московская БиржаMOEX, Акции",RU000A0JR4A1,Доступен,20.08 / 25.44
36,"Сбер БанкSBER, Акции",RU0009029540,Доступен,20.08 / 25.44
37,"ГазпромGAZP, Акции",RU0007661625,Доступен,20.08 / 25.44
38,"Банк ВТБVTBR, Акции",RU000A0JP5V6,Доступен,20.08 / 25.44
39,"ЛУКОЙЛLKOH, Акции",RU0009024277,Доступен,20.08 / 25.44
40,"РоснефтьROSN, Акции",RU000A0J2Q06,Доступен,20.08 / 25.44
41,"Норильский никельGMKN, Акции",RU0007288411,Доступен,20.08 / 25.44
42,"СургутнефтегазSNGS, Акции",RU0008926258,Доступен,20.08 / 25.44
43,"Сбер Банк - привилегированные акцииSBERP, Акции",RU0009029557,Доступен,20.08 / 25.44
44,"ФСК ЕЭСFEES, Акции",RU000A0JPNN9,Доступен,20.08 / 25.44
45,"РусГидроHYDR, Акции",RU000A0JPKH7,Доступен,20.08 / 25.44
46,"СеверстальCHMF, Акции",RU0009046510,Доступен,20.08 / 25.44
47,"ТранснефтьTRNFP, Акции",RU0009091573,Доступен,20.08 / 25.44
48,"НОВАТЭКNVTK, Акции",RU000A0DKVS5,Доступен,20.08 / 25.44
49,"PolymetalPOLY, Акции",JE00B6T5S470,Доступен,20.08 / 25.44
50,"МагнитMGNT, Акции",RU000A0JKQU8,Доступен,20.08 / 25.44
51,"ТатнефтьTATN, Акции",RU0009033591,Доступен,20.08 / 25.44
52,"НЛМКNLMK, Акции",RU0009046452,Доступен,20.08 / 25.44
53,"Сургутнефтегаз - привилегированные акцииSNGSP, Акции",RU0009029524,Доступен,20.08 / 25.44
54,"МТСMTSS, Акции",RU0007775219,Доступен,20.08 / 25.44
55,"Российские сетиRSTI, Акции",RU000A0JPVJ0,Доступен,20.08 / 25.44
56,"РостелекомRTKM, Акции",RU0008943394,Доступен,20.08 / 25.44
57,"АэрофлотAFLT, Акции",RU0009062285,Доступен,20.08 / 25.44
58,"Интер РАО ЕЭСIRAO, Акции",RU000A0JPNM1,Доступен,20.08 / 25.44
59,"Газпром нефтьSIBN, Акции",RU0009062467,Доступен,20.08 / 25.44
60,"Магнитогорский металлургический комбинатMAGN, Акции",RU0009084396,Доступен,20.08 / 25.44
